epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,466.012,1.57771,1.65215,0.01531,0.70118,0.53979,0.60437,0.33657,1.62097,1.79456,0.02082,0.0081685,0.0081685,0.0081685
76,472.175,1.5972,1.63384,0.01391,0.6223,0.5074,0.57314,0.314,1.69265,1.88137,0.0208,0.00814375,0.00814375,0.00814375
77,477.462,1.59834,1.65215,0.01387,0.71445,0.54671,0.61106,0.34222,1.73152,1.87674,0.02135,0.008119,0.008119,0.008119
78,484.529,1.56909,1.61844,0.01451,0.72071,0.59516,0.68735,0.39285,1.59607,1.45243,0.01985,0.00809425,0.00809425,0.00809425
79,489.686,1.57083,1.59614,0.01406,0.79324,0.57093,0.67634,0.38971,1.61988,1.51907,0.01967,0.0080695,0.0080695,0.0080695
80,495.298,1.58248,1.62478,0.01422,0.74102,0.57785,0.66416,0.37612,1.60386,1.54364,0.02044,0.00804475,0.00804475,0.00804475
81,501.851,1.60076,1.60087,0.01445,0.71435,0.55381,0.66334,0.39165,1.52156,1.47835,0.01846,0.00802,0.00802,0.00802
82,506.954,1.55081,1.56115,0.01387,0.76092,0.56165,0.67022,0.39633,1.55333,1.49402,0.01883,0.00799525,0.00799525,0.00799525
83,513.867,1.59363,1.59369,0.01394,0.70779,0.58131,0.65549,0.38596,1.60447,1.46274,0.01977,0.0079705,0.0079705,0.0079705
84,519.364,1.54783,1.58763,0.01417,0.76084,0.57242,0.66768,0.38311,1.62292,1.50599,0.0201,0.00794575,0.00794575,0.00794575
85,524.473,1.53547,1.59309,0.0136,0.78179,0.57027,0.66476,0.38795,1.59119,1.44222,0.01929,0.007921,0.007921,0.007921
86,531.449,1.53524,1.58898,0.01369,0.80228,0.56055,0.66432,0.39831,1.51292,1.51892,0.0186,0.00789625,0.00789625,0.00789625
87,536.573,1.55224,1.58151,0.01336,0.71434,0.53646,0.61892,0.36367,1.54409,1.70887,0.01934,0.0078715,0.0078715,0.0078715
88,542.821,1.54912,1.52663,0.01363,0.78349,0.55709,0.66678,0.40417,1.51357,1.4728,0.01895,0.00784675,0.00784675,0.00784675
89,548.878,1.55427,1.5185,0.01375,0.7893,0.54443,0.66128,0.40128,1.56116,1.56793,0.01947,0.007822,0.007822,0.007822
90,554.073,1.56107,1.50184,0.01416,0.8183,0.53287,0.64061,0.37357,1.6904,1.65646,0.02085,0.00779725,0.00779725,0.00779725
91,561.317,1.52401,1.51965,0.01363,0.77981,0.57785,0.67032,0.41063,1.5509,1.51215,0.01963,0.0077725,0.0077725,0.0077725
92,566.721,1.5055,1.50537,0.01374,0.76249,0.56747,0.66047,0.40015,1.58267,1.57598,0.02016,0.00774775,0.00774775,0.00774775
93,572.433,1.52736,1.48918,0.0137,0.75234,0.58824,0.66584,0.3805,1.64877,1.6378,0.02228,0.007723,0.007723,0.007723
94,578.779,1.49388,1.48271,0.01349,0.7308,0.573,0.65151,0.39129,1.6034,1.54915,0.0199,0.00769825,0.00769825,0.00769825
95,583.917,1.46868,1.4719,0.01338,0.75366,0.56106,0.64936,0.37967,1.59168,1.5324,0.02067,0.0076735,0.0076735,0.0076735
96,590.993,1.49166,1.47824,0.01311,0.75364,0.57785,0.63778,0.36353,1.6355,1.63372,0.01976,0.00764875,0.00764875,0.00764875
97,596.401,1.50923,1.45935,0.01382,0.64827,0.609,0.63593,0.3627,1.6073,1.58932,0.01907,0.007624,0.007624,0.007624
98,601.832,1.53778,1.53085,0.01362,0.74036,0.60208,0.68178,0.40735,1.54698,1.45802,0.01868,0.00759925,0.00759925,0.00759925
99,608.852,1.51699,1.50285,0.01348,0.74802,0.61632,0.69959,0.41463,1.54133,1.38822,0.01913,0.0075745,0.0075745,0.0075745
100,614.279,1.47647,1.40306,0.01307,0.75817,0.57439,0.68046,0.40025,1.55628,1.58924,0.01897,0.00754975,0.00754975,0.00754975
101,621.213,1.47933,1.45814,0.013,0.75298,0.58131,0.67142,0.41281,1.48043,1.60062,0.01791,0.007525,0.007525,0.007525
102,626.864,1.46698,1.41773,0.01373,0.81398,0.55363,0.69187,0.40975,1.4867,1.51063,0.01783,0.00750025,0.00750025,0.00750025
103,632.369,1.48032,1.38951,0.01313,0.75807,0.57439,0.66096,0.41165,1.49953,1.57346,0.01791,0.0074755,0.0074755,0.0074755
104,639.327,1.4979,1.45375,0.01325,0.79798,0.6014,0.70017,0.43363,1.44902,1.37383,0.01778,0.00745075,0.00745075,0.00745075
105,644.552,1.47492,1.4208,0.01287,0.80676,0.54897,0.67795,0.41238,1.55288,1.4458,0.01859,0.007426,0.007426,0.007426
106,651.163,1.46623,1.42072,0.01316,0.78688,0.60047,0.69397,0.42864,1.50248,1.41722,0.01808,0.00740125,0.00740125,0.00740125
107,656.783,1.43687,1.37854,0.0131,0.83258,0.57785,0.7015,0.43679,1.43098,1.38777,0.01717,0.0073765,0.0073765,0.0073765
108,662.118,1.42796,1.35556,0.01266,0.77991,0.59862,0.69946,0.44967,1.43049,1.36267,0.01722,0.00735175,0.00735175,0.00735175
109,669.546,1.4572,1.41864,0.01264,0.8089,0.57439,0.6749,0.42305,1.50662,1.52917,0.01803,0.007327,0.007327,0.007327
110,674.742,1.44373,1.37202,0.01278,0.80735,0.56055,0.6956,0.43501,1.48644,1.35949,0.01859,0.00730225,0.00730225,0.00730225
111,681.001,1.50407,1.42494,0.01316,0.70165,0.61845,0.68853,0.40978,1.53289,1.35262,0.01811,0.0072775,0.0072775,0.0072775
112,687.285,1.44304,1.39454,0.01237,0.77829,0.62976,0.71963,0.46252,1.4161,1.27765,0.0171,0.00725275,0.00725275,0.00725275
113,692.539,1.47343,1.40924,0.01282,0.76968,0.609,0.70348,0.44477,1.47959,1.30834,0.01797,0.007228,0.007228,0.007228
114,700.002,1.4743,1.43255,0.01279,0.79045,0.62652,0.71001,0.43404,1.51415,1.31758,0.01836,0.00720325,0.00720325,0.00720325
115,705.306,1.44413,1.41248,0.01269,0.76033,0.53633,0.62333,0.3608,1.64328,1.66173,0.01996,0.0071785,0.0071785,0.0071785
116,711.328,1.42386,1.39364,0.01258,0.80781,0.58176,0.69624,0.40266,1.64386,1.41295,0.02004,0.00715375,0.00715375,0.00715375
117,717.735,1.43575,1.40913,0.01299,0.76298,0.58824,0.68523,0.43251,1.42094,1.52032,0.0174,0.007129,0.007129,0.007129
118,723.209,1.40938,1.41664,0.01263,0.77818,0.58478,0.6864,0.42364,1.51086,1.45349,0.018,0.00710425,0.00710425,0.00710425
119,730.603,1.42939,1.35356,0.01267,0.77651,0.63322,0.71462,0.4565,1.43369,1.32748,0.01713,0.0070795,0.0070795,0.0070795
120,735.908,1.44418,1.37098,0.01181,0.71564,0.6444,0.68806,0.42245,1.51293,1.46602,0.01854,0.00705475,0.00705475,0.00705475
121,741.868,1.43396,1.35489,0.01185,0.74378,0.6263,0.69702,0.45063,1.43525,1.31346,0.01732,0.00703,0.00703,0.00703
122,748.384,1.42052,1.34971,0.01268,0.74572,0.64706,0.71653,0.45907,1.46394,1.26952,0.01783,0.00700525,0.00700525,0.00700525
123,753.681,1.42736,1.37833,0.01243,0.82751,0.59759,0.72191,0.46445,1.40675,1.27894,0.01703,0.0069805,0.0069805,0.0069805
124,761.081,1.44924,1.33082,0.01308,0.80518,0.63668,0.71064,0.45212,1.43282,1.33602,0.01777,0.00695575,0.00695575,0.00695575
125,766.281,1.40064,1.3132,0.01232,0.74767,0.66436,0.73124,0.46097,1.49621,1.26125,0.01774,0.006931,0.006931,0.006931
126,771.68,1.41571,1.33391,0.01249,0.78405,0.64014,0.73777,0.46614,1.40088,1.24779,0.01693,0.00690625,0.00690625,0.00690625
