epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,401.841,1.23869,1.07685,1.64575,0.84205,0.70588,0.78414,0.52377,1.26355,1.12006,1.71896,0.00802,0.00802,0.00802
82,407.657,1.17659,1.04522,1.59359,0.83851,0.68512,0.74451,0.48108,1.35826,1.22203,1.73462,0.00799525,0.00799525,0.00799525
83,411.822,1.22507,1.05413,1.63493,0.77187,0.6955,0.77772,0.50849,1.25928,1.15209,1.69883,0.0079705,0.0079705,0.0079705
84,416.351,1.19319,1.06116,1.61362,0.8474,0.64706,0.75811,0.51011,1.27125,1.24704,1.7063,0.00794575,0.00794575,0.00794575
85,422.234,1.19439,1.02752,1.60491,0.74983,0.6436,0.73276,0.47524,1.33896,1.30015,1.76798,0.007921,0.007921,0.007921
86,426.896,1.20595,1.07579,1.60977,0.74825,0.6955,0.75192,0.49015,1.33415,1.1996,1.74522,0.00789625,0.00789625,0.00789625
87,431.336,1.23341,1.06294,1.59855,0.81353,0.70951,0.78718,0.52459,1.27215,1.14283,1.71363,0.0078715,0.0078715,0.0078715
88,436.943,1.19013,1.03414,1.59222,0.84984,0.68512,0.7837,0.51271,1.32456,1.11322,1.72711,0.00784675,0.00784675,0.00784675
89,441.963,1.17074,1.01543,1.57405,0.81491,0.71626,0.7868,0.52483,1.29251,1.1449,1.7108,0.007822,0.007822,0.007822
90,446.374,1.18283,1.02775,1.5806,0.81671,0.62284,0.69637,0.45674,1.42919,1.30018,1.76156,0.00779725,0.00779725,0.00779725
91,451.36,1.1638,1.02659,1.56873,0.85211,0.67128,0.79059,0.53483,1.21854,1.09663,1.63809,0.0077725,0.0077725,0.0077725
92,456.758,1.14311,1.00713,1.55149,0.80071,0.67474,0.75313,0.51899,1.23062,1.16916,1.63102,0.00774775,0.00774775,0.00774775
93,460.796,1.1619,1.01677,1.56305,0.78402,0.65317,0.73196,0.49223,1.30638,1.22733,1.69618,0.007723,0.007723,0.007723
94,465.984,1.14099,0.99806,1.5423,0.84423,0.69389,0.78742,0.54607,1.19989,1.0713,1.61738,0.00769825,0.00769825,0.00769825
95,471.39,1.11557,0.99567,1.52955,0.84052,0.65398,0.75848,0.51411,1.25896,1.14904,1.66259,0.0076735,0.0076735,0.0076735
